epoch,train_loss,test_loss,train_acc,test_acc
1,0.45615393,0.44784433,73.71361,74.53125
2,0.38223466,0.36691746,81.57003,86.71875
3,0.33718264,0.3221668,84.68876,88.125
4,0.312325,0.30249274,85.793175,87.96875
5,0.29017445,0.27743247,87.299194,87.96875
6,0.267279,0.27178055,88.40362,89.0625
7,0.25775546,0.26101327,88.284386,88.59375
8,0.24638028,0.25435263,89.28841,88.75
9,0.2498668,0.2513516,88.566765,88.59375
10,0.23930544,0.24293941,88.905624,88.75
11,0.23078404,0.23903418,89.225655,89.21875
12,0.22511983,0.23766522,89.56451,89.21875
13,0.21970527,0.23565409,89.56451,89.53125
14,0.22156224,0.23643401,89.520584,89.0625
15,0.22372913,0.23431088,89.39508,89.375
16,0.21746437,0.23323041,89.87199,89.375
17,0.21859026,0.23371668,89.809235,88.90625
18,0.20538083,0.23123601,90.7505,89.21875
19,0.21486649,0.22909138,89.68374,89.84375
20,0.20708945,0.22563747,89.97867,90.0
21,0.207381,0.2282303,90.30497,90.0
22,0.20403612,0.22625092,90.20457,89.375
23,0.20408194,0.22747943,90.40537,89.84375
24,0.20321372,0.2231404,90.7003,89.6875
25,0.20321256,0.22502379,89.97867,89.6875
26,0.1997847,0.2251339,90.65637,90.15625
27,0.20055883,0.2230707,90.68775,89.84375
28,0.2082681,0.2428706,90.07906,88.90625
29,0.20749775,0.22318226,90.486946,90.0
30,0.20561567,0.22388133,90.20457,90.0
31,0.20586291,0.22650746,90.2987,89.53125
32,0.20122238,0.2222668,90.5246,89.84375
33,0.19642521,0.22332808,90.7505,89.53125
34,0.19810693,0.22441107,90.7505,90.15625
35,0.19526106,0.22311246,90.60618,89.53125
36,0.20295541,0.22682174,90.731674,89.21875
37,0.20235166,0.2221834,90.104164,90.0
38,0.19723803,0.22553448,90.38654,89.84375
39,0.19765209,0.22206435,90.88228,90.46875
40,0.1919709,0.22464415,90.85718,90.15625
